CROPS,CODE,PLANT,FRUIT,RESISTANCE,CULTIVATION
Pepper,223-1082,"Lamuyo pepper, vigrous, short internodes, dark green leaves, mid-early.","Dark green color, sweet, 14 x 10 cm, thick flesh, 3-4 lobes.",HR: Tm 0-3 (L4) / IR: TSWV,Autumn and spring seasons in greenhouse and open field.
Pepper,223-1084,"Lamuyo pepper, vigrous, short internodes, dark green leaves, good cold tolerance.","Dark green color, sweet, 16 x 8 cm, thick flesh.",HR: Tm 0-3 (L4) / IR: TSWV,Autumn and spring seasons in greenhouse and open field.
Pepper,223-1186,"Kappya pepper, strong, compact, early, short internodes.","Sweet, flat, 20x5 cm, thick flesh, red shiny color.",,Autumn and spring seasons in greenhouse and open field.
Pepper,223-1190,"Kappya pepper, early, short internodes, productive.","Conical shape, dark orange color, firm, 18-20 cm, productive side shots.",HR: Tm 0-3 / IR: TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,223-337,"Special type pepper, vigorous, early, productive.","Green color, sweet, thin flesh and crispy, 2,3 x 16 cm.",HR: Tm 0-3 / IR: TSWV,Winter season in greenhouse.
Pepper,223-370,"Hungarian pepper, vigorous plant, short internodes, strong lateral branches, very high yield.","Sweet, cream color, 16-18 cm, conical shape, long shelf life.",IR: TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,223-379,"Hungarian pepper, vigorous, compact, early, productive.","Cream color, sweet, conical shape, thick flesh, 14-15 cm.",HR: Tm 0-3 / IR: TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,223-502,"Dolma pepper, vigorous, short internodes, early.","Green color, 3-4 lobs, firm, thick flesh, 6-8 x 4-6 cm.",TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,223-536,"Dolma pepper, compact, short internodes, productive.","Green color, 3-4 lobs, firm, high quality and uniform shape in cold period.",IR:TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,223-709,"Kappya pepper, very early, vigorous, good leaf cover, productive lateral shots.","Conical shape, red color, firm, 19-20 cm, non-cracking.",HR: Tm 0-3 / IR: TSWV,"Autumn, winter and spring seasons in greenhouse."

Pepper,223-733,"Kappya pepper, early, vigorous, productive lateral shots.","Conical shape, red color, firm, 17-19 cm, non-cracking.",HR: Tm 0-3 / IR: TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,223-740,"Kappya pepper, early, short internodes, productive.","Conical shape, orange color, firm, 20-22 cm, thick flesh.",HR: Tm 0-3 / IR: TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,223-827,"Chili pepper, vigorous, early, short internodes, productive.","Hot, dark green color, 16-18 cm x 1,5 x 2 cm, smooth skin.",IR: TSWV,Autumn and spring season in greenhouse and open field.
Pepper,223-972,"Blocky pepper, compact, good leaf cover, early.","Dark red color, 3-4 lobes, 9 x 8 cm, firm, productive, mono  fruit per each node.",HR: Tm 0-3 / IR: TSWV,"Autumn, spring and winter seasons in greenhouse."
Pepper,223-984,"Blocky pepper, short internodes, very vigorous, early.","Red shiny color, blocky shape, 4 lobes, 9 x 11 cm.","HR: Tm 0-3 / IR: TSWV, Lt","Autumn, winter and spring seasons in greenhouse."
Pepper,223-985,"Blocky pepper, short internodes, very vigorous, mid-early.","Red shiny color, blocky shape, 4 lobes, 8 x 10 cm.","HR: Tm 0-3 / IR: TSWV, Lt","Autumn, winter and spring seasons in greenhouse."
Pepper,223-986,"Blocky pepper, short internodes, vigorous, early, good cold tolerance.","Red color, blocky shape, 4 lobes, 8 x 10 cm, uniform shape.","HR: Tm 0-3 / IR: TSWV, Lt","Autumn, winter and spring seasons in greenhouse."
Pepper,233-534,"Kappya pepper, early, compact, short internodes, good leaf cover, multi pistile.","Conical shape, hot, red color, firm, 18-20 cm.","IR: TSWV, CMV","Autumn, winter and spring seasons in greenhouse."
Pepper,233-537,"Kappya pepper, early, compact, short internodes, good leaf cover, multi pistile.","Long conical shape, thick flesh, hot, red color, firm, 19-20 cm.","IR: TSWV, CMV","Autumn, winter and spring seasons in greenhouse."
Pepper,233-591,"Kappya pepper, early, short internodes, productive.","Conical shape, yellow color, firm, 18-20 cm, productive side shots.",IR: TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,233-593,"Kappya pepper, vigorous, short internodes, productive.","Conical shape, orange color, firm, 18-20 cm, wider shoulders.",IR: TSWV,Autumn and winter seasons in greenhouse.
Pepper,233-729,"Mini snack, early, short internodes, compact, productive.","Red color, sweet, conical shape, 35-40 gr, 7-8 cm, thick flesh.",HR: Tm 0-3 / IR: TSWV,Autumn and spring seasons in greenhouse and open field.
Pepper,233-736,"Mini snack, early, short internodes, compact, productive.","Yellow color, sweet, conical shape, 36-38 gr, 7-9 cm, thick flesh.",HR: Tm 0-3 / IR: TSWV,Autumn and spring seasons in greenhouse and open field.
Pepper,233-746,"Mini snack, early, short internodes, compact, small size leaves, productive.","Orange color, sweet, conical shape, 35-40 gr, 6-8 cm, thick flesh.",HR: Tm 0-3 / IR: TSWV,Autumn and spring seasons in greenhouse and open field.

Pepper,233-936,"Mini snack, early, short internodes, compact, productive.","Yellow color, sweet, conical shape, 36-38 gr, 7-9 cm, thick flesh.",HR: Tm 0-3 / IR: TSWV,Autumn and spring seasons in greenhouse and open field.
Pepper,233-950,"Lamuyo pepper, short internodes, early.","Dark green color, sweet, 3-4 lobes, 14-16 x 6-8 cm.",HR: Tm 0-3 / IR: TSWV,"Autumn, winter and spring in greenhouse."
Pepper,233-952,"Lamuyo pepper, short internodes, compact, early.","Dark green color, sweet, 3-4 lobes, 16-18 x 8-10 cm.",HR: Tm 0-3 / IR: TSWV,"Autumn, winter and spring in greenhouse."
Pepper,243-553,"Italian type pepper, short internodes, vigorous, dark green leaves.","Dark green shiny fruit color, mature color red, crispy, 23-24 cm, sweet taste, firm, long shelf life.",HR: Tm 0-2 / IR: TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,243-905,"Italian type pepper, short internodes, vigorous, dark green leaves, good cold tolerance.","Dark green shiny fruit color, mature color yellow, crispy, uniform shape, 22-24 cm, sweet taste, firm.",IR: TSWV,"Autumn, winter and spring seasons in greenhouse."
Pepper,243-910,"Italian type pepper, short internodes, vigorous, dark green leaves, good cold tolerance.","Dark green shiny fruit color, mature color brown, crispy, 22-26 cm, very sweet taste, firm.",HR: Tm 0-3,"Autumn, winter and spring seasons in greenhouse."
Pepper,43-08,"Hungarian pepper, vigorous plant, short internodes, strong lateral branches, very high yield.","Sweet, cream color, 16-18 cm, conical shape, long shelf life.",,"Autumn, winter and spring seasons in greenhouse."
Pepper,95-028,"Lamuyo pepper, vigorous, early, productive.","Dark green color to shiny red, sweet, thick wall, 16-18 cm.","HR: TMV-P(0,1,2) / IR: TSWV",Autumn and spring seasons in greenhouse and open field.
Pepper,95-030,"Lamuyo pepper, vigorous, mid-early, productive.","Dark green color to yellow, sweet, thick wall, 3-4 lobes, 14-15 x 8-9 cm.","HR: TMV-P(0,1,2) / IR: TSWV",Autumn and spring seasons in greenhouse and open field.
Pepper,BAFRA F1,"Sivri pepper, vigorous plant, very early and high yield, tolerant to hot weather.","Dark green color, 22-25 cm, smooth, bright and long fruits have very high quality.",,Open field.
Pepper,Y-17,"Sivri pepper, very strong, tolerant to cold weather conditions, very early.","Green color, smooth, 23-25 cm, medium hot.",,Winter season in greenhouse.
Pepper,Y-90,"Dolma pepper, compact, very strong and early, short internodes.","Green color, 3-4 lobs, thin wall, high quality and uniform.",,"Autumn, winter and spring seasons in greenhouse and open field."
Eggplant,113-42,"Vigorous, early, tolerant to cold conditions, high production.","Half oval, dark black color, firm, 270-300 gr, long shelf life.",,Autumn-winter in greenhouse and spring-summer season in open field.
Eggplant,113-50,"Tear shape, very productive, no spine","Half oval, dark black, firm",,All seasons.

Eggplant,123-74,"Vigorous plant, medium early, very high yield.","Round, dark black color, very firm, productive.",,"Autumn, winter, spring seasons and open field."
Eggplant,133-128,"Vigorous plant, medium early, very high yield.","Round, glossy black color, very high quality, long shelf life.",,"Autumn, winter, spring seasons and open field."
Eggplant,133-130,"Vigorous plant, medium early, very high yield.","Round,mini size, firm, black color, long shelf life.",,"Autumn, winter, spring seasons and open field."
Eggplant,133-133,"Very vigorous, short internodes, early.","Cylindrical, purple stripes on white skin, very firm, 20-22  cm, high quality, long shelf life.",,Autumn and spring seasons in greenhouse and open field.
Eggplant,133-28,"Vigorous, short internodes, small size leaves, very high production, early.","Cylindrical, firm, good color in cold season, high quality, long shelf life.",,Winter seasons in greenhouse.
Eggplant,143-149,"Small Barcelona type, vigorous plant, compact, big-dark green leaves, very early.","Tear shape , half long, glossy black color, very firm.",,"Autumn, winter, spring seasons and open field."
Eggplant,143-150,"Half oval, vigorous plant, compact, big-dark green leaves, early.","Half long, dark black color, very firm, end point is round, very productive.",,"Autumn, winter, spring seasons and open field."
Eggplant,143-154,"Half oval, vigorous plant, compact, big-dark green leaves, very early.","Tear shape , half long, dark black color, very firm, very productive.",,"Autumn, winter, spring seasons and open field."
Eggplant,143-46,"Strong plant, mid-early, very high yield.","Cylindrical, dark black color, high quality, firm, 20-22 cm.",,"Autumn, winter, spring seasons and open field."
Eggplant,143-51,"Vigorous, compact, very early, generative plant habbit, tolerant to cold conditions, high production.","Cylindrical, very firm, 22-25 cm, very good black color in cold season, long shelf life.",,Winter seasons in greenhouse.
Eggplant,143-62,"Vigorous plant, very early.","Cylindrical, firm fruit, productive, black color",,Winter seasons in greenhouse.
Eggplant,153-74,"Very vigorous, early, short internodes, high production.","Cylindrical, very firm, very good dark black color, high quality.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,163-111,"Vigorous plant, short internodes, compact, big size leaves, good leaf coverage, early, productive.","Cylindrical, black shiny color, firm, 23-24 cm, smooth fruit shape.",,Open field.
Eggplant,163-114,"Cylindrical, vigorous plant, compact plant, dark green leaves.","Cylindrical, elongated, black color.",,"Autumn, winter, spring seasons in greenhouse and open field."

Eggplant,163-84,"Vigorous plant, short internodes, dark green leaves, early, productive.","Cylindrical, black shiny color, firm, 18-20 cm, thick fruit, oval end point shape.",,Winter season in greenhouse.
Eggplant,163-87,"Vigorous plant, very early.","Cylindrical, firm fruit, 16-18 cm, black color at cold period.",,Winter seasons in greenhouse.
Eggplant,163-99,"Cylindrical, vigorous plant, mid-early, big size leaves.","Cylindrical, black color, good setting.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,173-106,"Vigorous, short internodes, big size leaves, early.","Cylindrical, uniform shape, purple stripes on white skin, high quality.",,Spring seasons in greenhouse and open field.
Eggplant,173-155,"Cylindrical, very vigorous plant, big size leaves, compact plant.","Cylindrical, long calyx, dark black color, high quality.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,173-45,"Cylindrical, compact plant, mid-early.","Cylindrical, black color.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,173-49,"Cylindrical, vigorous plant, mid-early, high setting.","Cylindrical, elongated, black color.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,173-50,"Cylindrical, vigorous plant, mid-early, compact plant.","Cylindrical, dark black-shiny color.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,173-53,"Cylindrical, very vigorous plant, big size leaves, compact plant.","Cylindrical, elongated, dark black color, high quality.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,173-54,"Cylindrical, vigorous plant, mid-early, compact plant.","Cylindrical, dark black-shiny color, good setting under cold conditions.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,173-62,"Cylindrical, vigorous plant, compact plant, dark green leaves.","Cylindrical, elongated, black color.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,173-68,"Cylindrical, vigorous plant, mid-early, compact plant.","Cylindrical, black-shiny color.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,173-90,"Cylindrical, vigorous plant, mid-early, high setting.","Cylindrical, elongated, black color.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,183-112,"Vigorous plant, short internodes, dark green leaves, early.","Cylindrical, black shiny color, firm, 20-22 cm.",,Winter season in greenhouse.

Eggplant,183-160,"Vigorous plant, short internodes, compact, early, productive.","Cylindrical, black shiny color, firm, 18-20 cm, thick fruit.",,Winter season in greenhouse.
Eggplant,183-164,"Vigorous plant, short internodes, compact, big size leaves, good leaf coverage, early, productive.","Cylindrical, black shiny color, firm, 23-24 cm, smooth fruit shape.",,Open field.
Eggplant,183-180,"Very vigorous plant, dark green leaves, early, good setting under cold.","Cylindrical, black shiny color, firm, 23-25 cm, thin fruit shape.",,Winter season in greenhouse.
Eggplant,183-219,"Vigorous plant, short internodes, dark green-big size leaves, good leaf coverage.","Round-flattened, slightly ribbed, dark black color, firm.",,Open field.
Eggplant,183-220,"Very vigorous plant, short internodes, dark green-big size leaves, good leaf coverage, very productive.","Round-flattened, slightly ribbed, dark black color, firm.",,Open field.
Eggplant,183-221,"Vigorous plant, short internodes, early, big size leaves, high production.","Half rounded-oval, dark black color under cold, firm, big size, long shelf life.",,Winter season in greenhouse.
Eggplant,183-226,"Vigorous plant, short internodes early, big size leaves,  tolerant to cold conditions, high production.","Half rounded-oval, black color, firm, big size, long shelf life.",,Winter season in greenhouse.
Eggplant,183-63,"Cylindrical, vigorous plant, compact plant, early.","Cylindrical, elongated, black color, firm.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,183-74,"Cylindrical, vigorous plant, compact plant, dark green leaves, high setting.","Cylindrical, elongated, black color, firm, high quality.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,193-126,"Vigorous plant, short internodes, dark green leaves, early, productive, good setting under cold.","Cylindrical, black shiny color under cold, firm, 22-24 cm, thin-smooth shape.",,Winter season in greenhouse.
Eggplant,193-259,"Vigorous, short internodes,early, tolerant to cold conditions, high production.","Half oval, dark black color, firm, long shelf life.",,Winter season in greenhouse.
Eggplant,193-266,"Vigorous plant, short internodes, big size leaves, good leaf coverage, very early.","Half oval shape, elongated, dark black color, firm.",,Open field.
Eggplant,193-270,"Compact plant,short internodes early, tolerant to cold conditions, high production.","Half oval, elongated, dark black color, firm,big size, long shelf life.",,Winter season in greenhouse and open field.
Eggplant,193-271,"Vigorous plant,short internodes early, tolerant to cold conditions, high production.","Half rounded-oval, black color, firm,big size, long shelf life.",,Winter season in greenhouse and open field.

Eggplant,193-277,"Vigorous plant, short internodes, compact, early, good setting under hot.","Half oval shape, elongated, dark black color, firm.",,Open field.
Eggplant,193-279,"Compact plant,short internodes early, tolerant to cold conditions, high production.","Half oval, dark black color, firm, long shelf life.",,Winter season in greenhouse.
Eggplant,193-99,"Strong-compact plant, generative, short internodes, dark green leaves.","Cylindrical, black color, high quality fruit, smooth, firm.",,Suitable for open field and greenhouse
Eggplant,203-105,"Very vigorous plant, mid-early, good setting under cold.","Cylindrical, black shiny color, firm, 23-25 cm, thin fruit shape.",,Winter season in greenhouse.
Eggplant,203-110,"Vigorous plant, short internodes, compact, thick stem, big size leaves, good leaf coverage, early, productive.","Cylindrical, black shiny color, firm, 23-25 cm, smooth fruit shape.",,Open field.
Eggplant,203-135,"Vigorous open plant, short internodes, small size dark green leaves, early, productive.","Cylindrical, black shiny color, firm, 20-22 cm, smooth shape, high quality under cold.",,Winter season in greenhouse.
Eggplant,203-145,"Vigorous plant, short internodes, big size-dark green leaves, early, productive.","Cylindrical, black shiny color, firm, 18-20 cm, smooth shape, pointing end.",,Winter season in greenhouse.
Eggplant,203-166,"Very vigorous plant, big size-dark green leaves, good leaf coverage, thick stem, productive.","Cylindrical, black shiny color, firm, 24-26 cm, smooth thin shape, pointing end, long-dark green calyx.",,Open field.
Eggplant,203-168,"Cylindrical, very compact plant, short internodes.","Cylindrical, finger type, white color, multi setting.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,203-170,"Cylindrical, very compact plant, short internodes.","Cylindrical, finger type, white-green color, multi setting.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,203-185,"Compact plant, short internodes, early, small size leaves, balanced plant, tolerant to cold conditions, high production.","Half oval, dark black color, firm, long shelf life.",,Winter season in greenhouse.
Eggplant,203-188,"Vigorous plant, short internodes, early, big size leaves, tolerant to cold conditions.","Half oval, dark black color, very firm, long shelf life.",,Winter season in greenhouse.
Eggplant,203-190,"Compact plant, short internodes, early, small size leaves, open plant, tolerant to cold conditions.","Half oval, dark black color, firm, long shelf life, continuous setting.",,Winter season in greenhouse.
Eggplant,203-195,"Vigorous plant, short internodes, dark green leaves, compact, early.","Half oval, elongated drop shape, dark shiny black color, firm.",,Autumn and winter season in greenhouse.

Eggplant,203-98,"Vigorous plant, short internodes, dark green leaves, early, productive, good setting under cold.","Cylindrical, black shiny color, firm, 18-20 cm, thick fruit, oval end point shape.",,Winter season in greenhouse.
Eggplant,203-99,"Vigorous plant, short internodes, dark green leaves, productive.","Cylindrical, black shiny color under cold, firm, 20-22 cm, thick fruit, oval end point shape.",,Winter season in greenhouse.
Eggplant,213-340,"Vigorous, early compact, short internodes, dark green leaves","Half oval, shiny dark black, firm, uniform shape.",,Autumn-winter in greenhouse and spring-summer season in open field.
Eggplant,213-353,"Vigorous, early, tolerant to cold conditions, dark green leaves, short internodes.","Half oval, dark black, firm, uniform shape, long shelf life.",,Autumn-winter in greenhouse and spring-summer season in open field.
Eggplant,213-357,"Small Barcelona type, vigorous plant, compact, big-dark green leaves, very early.","Tear shape , half long, glossy black color, very firm.",,"Autumn, winter, spring seasons and open field."
Eggplant,233-115,"Vigorous, early, compact, short internodes, dark green leaves.","Half oval, shiny dark black, firm, good cold tolerance.",,Autumn-winter in greenhouse and spring-summer season in open field.
Eggplant,233-120,"Vigorous, compact, short internodes, dark green leaves, early.","Half oval mini, shiny dark black, firm, productive, long shelf life.",,Autumn-winter in greenhouse and spring-summer season in open field.
Eggplant,33-10,"Vigorous, mid-early, high production, tolerant to hot weather conditions.","Round, glossy black color, firm, 300-350 gr,  very high quality, long shelf life.",,Low tunnel and open field.
Eggplant,53-40,"Long cylindrical eggplant, very strong plant, tolerant to hot weather, early.","Black color, long harvest period, 22-25 cm.",,Plastic tunnel and Open field.
Eggplant,63-136,"Strong plant, mid-early, very hibg yield.","Round fruit shape, dark black color, firm, big size.",,Open field.
Eggplant,73-170,"Strong plant, medium early, very high yield.","Round, Glossy black fruit, firm, long shelf life.",,For plastic tunnel and open field.
Eggplant,73-36,"Strong plant, high yield, good adaptability to cold weather.","Black color, half oval, no spine, 300 - 320g.",,"Autumn-winter in green house, spring-summer season in open field."
Eggplant,73-70,"Strong plant, early, good adaptability to cold weather, high yield.","Half oval, glossy black color, firm, without spine, 300 - 320g, long shelf life.",,Autumn and spring seasons in greenhouse and open field.
Eggplant,83-106,"Strong plant, compact, very early, less spine.","Cylindrical, dark black color, firm, 8 X 30 cm.",,Open field.

Eggplant,83-111,"Tear shape, vigorous plant, very productive,early.","Half oval, dark black, firm, high quality.",,Autumn and winter seasons in greenhouse and open field.
Eggplant,83-132,"Tear shape, very productive, mid-early.","Half oval, dark black, firm, high quality.",,All seasons.
Eggplant,83-144,"Vigorous, very early, short internodes, high production.","Tear shape , half long, glossy black color, very firm.",,"Autumn, winter, spring seasons in greenhouse and open field."
Eggplant,83-57,"Cylindrical, vigorous plant, mid-early, compact plant.","Cylindrical, dark black-shiny color.",,"Autumn, winter, spring seasons in greenhouse."
Eggplant,Y-99,"Cylindrical eggplant, very vigorous plant, early, good adaptation at hot weather conditions.","Black color, 22-25 cm, pointer end, firm, long harvest period, productive.",,Open field.
Cucumber,102-172,"Parthenocarpic Beit Alpha cucumber, strong plant, big size leaves.","Green color, 16-18 cm, smooth.",,Open field.
Cucumber,102-184,"Beit Alpha cucumber, mid.early, strong plant, productive lateral shoots IR: CMV, CVYV","Green fruit, single fruit,veined, 18-20 cm.",,Autumn and winter seasons in greenhouse.
Cucumber,102-187,"Dutch cucumber, very early, vigorous plant, IR: CYSDV,CMV,CVYV","Dark green color,single fruit, veined, 28-30 cm,",,Suitable for Autumn and Spring seasons in greenhouse.
Cucumber,102-189,"Dutch cucumber, early, strong, short internodes,","Single fruit, dark green color, veined , 33-35 cm.",HR: CGMMV / IR: CYSDV,Autumn and spring seasons in greenhouse.
Cucumber,102-283,"Cornichon cucumber, short side shoots, very strong, mid-long internodes.","Single fruit, dark green color, firm, high quality, 12-14 cm, good taste and aroma.","IR: CMV, Px, Pcu",Winter season in greenhouse.
Cucumber,102-42,"Beit alpha cucumber, early, strong plant,short lateral shoots.","Multi cucumber, 17-19 cm, dark color.",,Suitable for autumn and spring seasons in greenhouse.
Cucumber,112-125,"Beit Alpha, vigorous plant, small size leaves, early, productive.","Dark green, 17-18 cm, slightly veined, semi-multi, long shelf life, high quality.",IR: CMV,Autumn and winter seasons in greenhouse.
Cucumber,112-151,"Beit alpha cucumber,
mid-strong, mid-early, dark green leaves, high production.","Multi fruit, dark green color, slightly veined, 16-18 cm, high quality.",,Autumn and spring seasons in greenhouse.
Cucumber,112-152,"Beit Alpha cucumber, strong plant, dark green leaf color, mid-early.","Green color, semi-multi, 15-17 cm, productive.","IR: CYSDV, CVYV","Autumn, winter and spring seasons in greenhouse."

Cucumber,112-160,"Beit Alpha cucumber, very strong plant, mid-early. IR: CVYV","Dark green color, semi multi, smooth, 18-20 cm, productive lateral shoots.",,Autumn and spring seasons in greenhouse.
Cucumber,112-169,"Beit Alpha cucumber, strong plant, short internodes, early.","Multi setting, green color, 15-17 cm.",,Autumn and spring seasons in greenhouse.
Cucumber,112-176,"Beit Alpha cucumber, early, blind side shoots, short internodes.","Multi setting, shiny green color, 16-18 cm.",,Autumn and spring seasons in greenhouse.
Cucumber,112-191,"Beit Alpha cucumber, early, short internodes, productive from lateral shoots.","Multi cucumber, 14-16 cm, dark color.",,Suitable for autumn and spring seasons in greenhouse.
Cucumber,112-199,"Beit Alpha, early, semi strong plant, short lateral shoots, very short internodes.","Multi cucumber, 15-17 cm.",,Suitable for autumn and spring seasons in greenhouse.
Cucumber,112-205,"Beit Alpha cucumber, strong plant, short internodes, very early.","Multi setting, green color, 16-18 cm.",,Autumn and spring seasons in greenhouse.
Cucumber,112-237,"Beit Alpha cucumber, mid-strong, dark green leaves, good leaves coverage, early.","Single fruit, dark green color, slightly veined, 16-18 cm, small seed cavity, firm.","IR: CVYV, CYSDV",Open field.
Cucumber,112-238,"Beit Alpha cucumber, strong plant, productive lateral shoots, big size leaves, short internodes, early.","Green color, slightly veined, 14-16 cm, multi setting, high quality.","IR: CVYV, CYSDV, ZYMV, CMV, CGMMV, Px",Autumn and spring seasons in greenhouse.
Cucumber,112-240,"Beit Alpha cucumber, strong, short internodes, high production, dark green leaves,  semi multi from side shoots.","Multi fruit, green color, slightly veined, 16-17 cm, high quality.","HR: CGMMV / IR: CVYV, CYSDV, ZYMV, CMV, Px","Autumn, spring and summer seasons in greenhouse."
Cucumber,112-241,"Beit Alpha cucumber, strong plant, mid- size leaves,  short internodes. IR: CVYV, CYSDV.","Green color, multi fruit, slightly veined, 16-18 cm.",,Suitable for spring and summer seasons in greenhouse.
Cucumber,112-242,"Beit Alpha cucumber, strong plant. IR: CVYV, CYSDV.","Green color, multi setting, 15-17 cm.",,Autumn and spring seasons in greenhouse.
Cucumber,112-267,"Dutch cucumber, early, vigorous plant, short internodes, IR: CYSDV","Dark green color, veined, single fruit, 30-35 cm",,Suitable for Autumn and Spring seasons in greenhouse.
Cucumber,112-298,"Cornichon cucumber, single fruit, strong plant, productive lateral shoots.","Dark green color, 13-15 cm, firm.",,Early Spring and Late Autumn seasons in greenhouse.
Cucumber,112-302,"Cornichon cucumber, strong, early, high production.","Multi fruit, green color, 10 -11 cm., firm, high quality, long shelf life.","IR: CMV, CVYV, Px, Pcu",Autumn and spirnig seasons in greenhouse.

Cucumber,112-311,"Cornichon cucumber,
mid-strong, mid-size leaves, short internodes, very early, short lateral shoots.","Multi fruit, green color, firm, 10-12 cm.",HR: CGMMV,Autumn and spring seasons in greenhouse.
Cucumber,112-313,"Cornichon cucumber, early
,mid-vigorous plant.","Single fruit, 13-15 cm.",,Suitable for autumn and spring seasons in greenhouse.
Cucumber,112-314,"Cornichon cucumber,
mid-early , productive from lateral shoots.","Green fruit color, semi-multi setting, 12-14 cm.",,Suitable for autumn and spring seasons in greenhouse.
Cucumber,112-315,"Cornichon cucumber, mid-strong plant, short internodes.","Semi-multi, 11-13 cm, firm, green color.",,Autumn and spring seasons in greenhouse.
Cucumber,112-353,"Cornichon cucumber, mid-early ,very strong, productive from lateral
shoots, dark green leaves.","Single fruit, dark green color, 13-15 cm, high quality, long shelf life.","IR: CMV, Px, Pcu","Autumn, winter and spring seasons in greenhouse."
Cucumber,112-417,"Baby cucumber, mid-early, short internodes, productive lateral shots, small leaves, strong.","Semi-multi fruit, green color, slightly veined, 12-14 cm.","IR: Px, Pcu",Winter season in greenhouse.
Cucumber,112-437,"Baby cucumber, vigorous plant, short internodes, early, high production.","Semi-multi fruit, green color, crispy, 12-13 cm, high quality.",,Autumn and winter segments in greenhouse.
Cucumber,112-459,"Baby cucumber, mid-strong, short side shoots, early, short internodes, very high production.","Semi multi, light green color, 8-10 cm, high quality, long shelf life.",,Autumn and spring seasons in greenhouse.
Cucumber,112-466,"Baby cucumber, semi strong plant, small size leaves, early, short internodes, very productive.","Light green color, multi and shiny smooth fruit, 8-10 cm.",,Autumn and spring seasons in greenhouse.
Cucumber,112-550,"Baby Cucumber,very vigorous plant, mid. early , productive side shoots.","Green color, multi fruit,smooth skin, 8-10 cm, semi-multi fruit setting.",,Suitable for autumn and winter seasons in greenhouse.
Cucumber,122-255,"Beit alpha cucumber,very strong plant, dark blue leaves, mid-early, good fruit setting under cold.","Semi multi cucumber, 16-18 cm fruit, slightly veined.",,Suitable for autumn and winter in greenhouse.
Cucumber,122-272,"Semi multi beit alpha cucumber, strong plant, very productive.","Dark green color, 18-20 cm, productive lateral shoots.",,Suitable for winter season in greenhouse.
Cucumber,122-278,"Beit Alpha cucumber, strong plant, short internodes, early.","Dark green color, 18-20 cm, productive lateral shoots.",,Suitable for winter season in greenhouse.
Cucumber,122-440,"Baby cucumber, multi fruit, semi strong plant, short internodes, small size leaves.","10-12 cm, very good taste and aroma, green color, suitable for daily harvest.","IR: CGMMV, CMV, Px",Autumn and spring seasons in greenhouse.

Cucumber,12-25,"Beit Alpha cucumber,
mid-strong, very early, small size leaves, short internodes, high production.","multi fruit, dark green color, slightly veined, 17-19 cm.","IR: CMV, CVYV","Autumn, spring, summer seasons in greenhouse."
Cucumber,132-192,"Beit Alpha cucumber, very strong plant, short internodes, mid-early.","Green color, slightly veined, 19-21 cm, single setting, productive lateral shoots.",,Winter season in greenhouse.
Cucumber,132-196,"Beit Alpha cucumber, strong plant, short internodes,
mid-early.","Dark green color, 19-21 cm, multi lateral shoots.",,Suitable for winter season in greenhouse.
Cucumber,132-226,"Dutch cucumber, very early, very strong plant short internodes. IR: CMV, CVYV, CYSDV","Green color,single fruit, veined, 30-35 cm.",,Autumn and winter seasons in greenhouse.
Cucumber,132-227,"Dutch cucumber, early, strong, mid-size leaves, high production.","Single fruit, green color, veined, 30-32 cm, high quality.","IR: CYSDV, CMV, CVYV, Px,
Pcu","Autumn, winter and spring seasons in greenhouse."
Cucumber,132-229,"Dutch cucumber, strong plant, dark green leaves, early. IR: CMV, CVYV, CYSDV.","Dark green fruit color, veined, 30-35 cm.",,"Autumn, winter and spring seasons in greenhouse."
Cucumber,132-240,"Dutch cucumber,mid. early, vigorous plant, short internodes. IR: CYSDV","Dark green color, single fruit,veined, 35-38 cm.",,Autumn and winter seasons in greenhouse.
Cucumber,132-254,"Dutch cucumber, very vigorous plant, early. IR: CYSDV","Dark green color, veined, 35-38 cm.",,"Autumn, winter and spring seasons in greenhouse."
